Year for projected temperature datas,SSP1-1.9 Central,SSP1-2.6 Central,SSP2-4.5 Central,SSP3-7.0 Central,SSP5-8.5 Central
2066,1.517917251,1.798835813,2.28125641,2.658745784,3.08611574
2067,1.514436812,1.798589211,2.298366149,2.695752566,3.134536202
2068,1.510551237,1.799042173,2.316237794,2.729997831,3.18064827
2069,1.506502879,1.801170645,2.333860647,2.764676095,3.229456906
2070,1.502784565,1.800509257,2.349677232,2.799205476,3.279564756
2071,1.499301826,1.800176143,2.365764147,2.837206249,3.329393298
2072,1.49557313,1.800643782,2.385652582,2.875600342,3.376201434
2073,1.492243106,1.799682314,2.400872441,2.912321573,3.426389033
2074,1.489024857,1.799241901,2.420856025,2.950057146,3.478239948
2075,1.486705666,1.798608142,2.436986628,2.987484987,3.528473273
2076,1.483224809,1.797969429,2.44928257,3.028042487,3.578517491
2077,1.479470223,1.796334256,2.469227025,3.065965237,3.62956571
2078,1.474762246,1.793544319,2.484956601,3.102424883,3.679307267
2079,1.469025303,1.792229004,2.498688922,3.140936604,3.733668902
2080,1.463558932,1.788891938,2.512986406,3.181039699,3.784346387
2081,1.459295511,1.786833311,2.527228874,3.218318401,3.833343571
2082,1.455213334,1.783811909,2.542410978,3.254365012,3.885569436
2083,1.451042728,1.780553457,2.557049642,3.29317655,3.939075944
2084,1.44657267,1.777842173,2.571728182,3.332336794,3.990479073
2085,1.443611109,1.774576942,2.586203367,3.371378585,4.042170397
2086,1.439094809,1.772189482,2.600524191,3.40911871,4.093118878
2087,1.434457525,1.769013637,2.614442537,3.448358067,4.145186055
2088,1.429551556,1.764498228,2.627413769,3.489697214,4.197856046
2089,1.42389761,1.760809845,2.638886883,3.529516524,4.249289921
2090,1.417880784,1.758729909,2.65009197,3.567628711,4.300077477
2091,1.414310347,1.75431596,2.664827267,3.606357659,4.35062671
2092,1.410984269,1.749871218,2.675315457,3.645376137,4.401697899
2093,1.407192649,1.746275025,2.686949806,3.684243773,4.450658071
2094,1.40334356,1.742477455,2.698345707,3.721228859,4.49915057
2095,1.39959568,1.738994,2.709810212,3.758451683,4.548681042
2096,1.395931947,1.734824558,2.721366589,3.796472137,4.596716455
2097,1.392230646,1.731581064,2.730280537,3.835123649,4.644480698
2098,1.38840286,1.727422952,2.739833945,3.87238348,4.689657502
2099,1.384914343,1.723633029,2.748133705,3.908723065,4.734679405
